,index,mean_imp
220,tzre_pi_m12_overdue_replay_count,1.6
221,tzre_pi_m12_register_count,7.5
222,tzre_pi_m12_repay_fail_count,1.5
223,tzre_pi_m12_repay_remind_count,7.75
224,tzre_pi_m12_verif_count,14.75
225,tzre_pi_m1_apply_reject_count,2.142857142857143
226,tzre_pi_m1_apply_request_count,1.8333333333333333
227,tzre_pi_m1_loan_offer_count,1.0
228,tzre_pi_m1_register_count,1.0
229,tzre_pi_m1_repay_fail_count,1.0
230,tzre_pi_m1_repay_remind_count,3.5
231,tzre_pi_m1_verif_count,8.5
232,tzre_pi_m24_apply_reject_count,3.5
233,tzre_pi_m24_apply_request_count,7.0
234,tzre_pi_m24_loan_offer_count,3.375
235,tzre_pi_m24_overdue_count,2.7142857142857144
236,tzre_pi_m24_overdue_replay_count,1.0
237,tzre_pi_m24_register_count,2.4285714285714284
238,tzre_pi_m24_repay_fail_count,2.2857142857142856
239,tzre_pi_m24_repay_remind_count,10.875
240,tzre_pi_m24_verif_count,17.75
241,tzre_pi_m3_apply_reject_count,1.0
242,tzre_pi_m3_apply_request_count,3.625
243,tzre_pi_m3_loan_offer_count,1.25
244,tzre_pi_m3_overdue_count,1.0
245,tzre_pi_m3_overdue_replay_count,1.0
246,tzre_pi_m3_register_count,2.0
247,tzre_pi_m3_repay_fail_count,2.625
248,tzre_pi_m3_repay_remind_count,2.875
249,tzre_pi_m3_verif_count,13.75
250,tzre_pi_m6_apply_reject_count,1.6
251,tzre_pi_m6_apply_request_count,1.875
252,tzre_pi_m6_loan_offer_count,2.7142857142857144
253,tzre_pi_m6_overdue_count,2.75
254,tzre_pi_m6_overdue_replay_count,1.6666666666666667
255,tzre_pi_m6_register_count,6.375
256,tzre_pi_m6_repay_fail_count,1.7142857142857142
257,tzre_pi_m6_repay_remind_count,4.0
258,tzre_pi_m6_verif_count,14.5
259,tzre_score_l,38.375
260,tzre_score_s,31.0
261,xy_black_acc_exc,1.5
262,xy_black_acc_sleep,14.5
263,xy_black_code,1.7142857142857142
264,xy_black_currently_overdue,1.5
265,xy_black_currently_performance,19.75
